claim_id,claim,claim_type,evidence_files,status,notes
C-M2-01,"M2 processed the complete frozen inventory: 20,640 samples accounted for, 20,615 COMPLETE and 25 FAILED, every failure classified SCRFD_NO_FACE with no fallback",completeness,outputs/audit/M2_CACHE_INTEGRITY.md;outputs/audit/M2_SCRFD_SUCCESS_REPORT.md;manifests/m2_sample_accounting.parquet;tests/test_m2b_execution.py,SUPPORTED,full block-level cache integrity audit PASS
C-M2-02,Every canonical video retains at least one usable (M2 COMPLETE) sample; no canonical video was lost to detector failure,completeness,outputs/audit/M2_FAILURE_CONCENTRATION.md;outputs/audit/M2_FAILURE_CONCENTRATION.csv;outputs/audit/M2_FAILURE_CONCENTRATION.json,SUPPORTED,"zero-usable-video gate PASS; 23 of 2,580 videos affected, min 6 usable frames"
C-M2-03,"Relocating the M2 generated artifacts to the external volume changed no scientific output (frozen 24-sample smoke, 210/210 files byte-identical)",determinism,outputs/audit/M2B_EXTERNAL_SMOKE_COMPARE.json;outputs/audit/M2B_STORAGE_DECISION_TRAIL.md;outputs/audit/M2_DETERMINISTIC_VALIDATION.json,SUPPORTED,DEV-017; final validation re-computed 72 samples with max abs diff 0.0
C-M3-01,"Q-01 is resolved as an owner lexicographic allocator (P0 constraints, then P1 video ratio, P2 binary, P3 attack_macro, P4 attack_raw, P5 seeded tie-break), each level pinned so a later priority cannot worsen an earlier one",decision,configs/frozen/split_v1.yaml;outputs/audit/M3_ALLOCATOR_DESIGN.md;outputs/audit/deviation_report.md;tests/test_m3_allocator.py,SUPPORTED,"owner benchmark-design decision, not literature-derived"
C-M3-02,The frozen allocator reaches a proven global optimum at every lexicographic level on all three datasets,optimality,outputs/audit/M3_ALLOCATOR_FEASIBILITY.md;outputs/audit/M3_ALLOCATOR_OBJECTIVE.json,SUPPORTED,"HiGHS via scipy.optimize.milp, mip_rel_gap 0, every level status 0 and gap 0.0; objective recomputed independently in exact integers"
C-M3-03,"The allocator is deterministic: identical output under permuted input rows, repeated execution and different PYTHONHASHSEED values",determinism,tests/test_m3_allocator.py;configs/frozen/split_v1.yaml,SUPPORTED,count vector canonicalised by seeded column order; groups ordered by the frozen seeded hash
C-M3-04,M2 frame-level failures do not change split balancing: a canonical video weighs exactly one video whether 7 or 8 of its frames survived,protocol,configs/frozen/split_v1.yaml;outputs/audit/M3_ALLOCATOR_DESIGN.md;tests/test_m3_allocator.py,SUPPORTED,M2 FAILED rows remain provenance-only and never become usable image samples
C-M3-05,"manifests/split_v1.parquet holds exactly the 20,615 M2 COMPLETE rows with zero subject/content-group/video/sample leakage, and is byte-reproducible",protocol,manifests/split_v1.parquet;outputs/audit/split_v1.sha256;outputs/audit/M3_LEAKAGE_AUDIT.md;outputs/audit/M3_DETERMINISM_REPORT.md;tests/test_m3_split_execution.py,SUPPORTED,4 runs incl. fresh interpreters and permuted metadata produced identical bytes
C-M4-01,"Common pair construction is feasible: no TRAIN or VAL spoof source lacks an eligible live target, and N_syn,intended = 8,838",feasibility,outputs/audit/M4_COMMON_PAIR_FEASIBILITY.md;outputs/audit/M4_PAIR_PREFLIGHT.json;tests/test_m4_pair_preflight.py,SUPPORTED,the 64-candidate cap binds for every source in both splits
C-M4-02,"Three of the four quantities the pair rule minimises are not defined by the spec, and CASIA carries no face box at all, so the common pair contract cannot be frozen yet",source_gap,outputs/audit/M4_PAIR_CONTRACT_ANALYSIS.md;outputs/audit/M4_PAIR_DISTANCE_ANALYSIS.md;outputs/audit/deviation_report.md;configs/proposed/pairs_v1.proposed.yaml,SUPERSEDED,superseded by C-M4-04: Q-24..Q-27 resolved by the owner on 2026-09-19
C-M4-03,"DSDG and DiffFAS native identity pairing is fully supported on CASIA and MSU and not instantiable on SiW-Mv2, whose subject identity is unavailable",coverage,outputs/audit/M4_NATIVE_PAIR_REQUIREMENTS.md;outputs/audit/M4_PAIR_PREFLIGHT.json,SUPPORTED,CASIA 35/35 and MSU 25/25 TRAIN identities carry both live and spoof; SiW 0. Identity is never fabricated and DEV-013 is not extended to native same-identity pairing; frozen for M4 manifest scope on 2026-09-20 as Q-28/Q-29 RESOLVED_FOR_M4_NATIVE_MANIFEST_SCOPE
C-M4-04,"The common pair contract is fully specified and frozen: candidate selection, pose, scale and luminance all have owner decisions with no remaining null or TODO field",decision,configs/frozen/pairs_v1.yaml;outputs/audit/M4_PAIR_OWNER_DECISIONS.md;outputs/audit/deviation_report.md;tests/test_m4_pair_preflight.py,SUPPORTED,owner benchmark-design decisions Q-24..Q-27; frozen config sha256 f243fdfaab2904b41aea3a09bbb3aa4bf5ddb55221db0cfaae328cab6b918985 (previous 16ff68036a9ed3a315df6944697394359cb2ea53e0b5623721d036a3cf170398 SUPERSEDED_BY_Q24_PREIMAGE_CORRECTION)
C-M4-05,"For CASIA-FASD the common-pair scale term carries no information: face_area_fraction is fixed at 1.0 so d_scale is exactly 0, and the 0.50/0.20 weights are not renormalized",limitation,outputs/audit/deviation_report.md;configs/frozen/pairs_v1.yaml;outputs/audit/M4_PAIR_PREFLIGHT.json;tests/test_m4_pair_preflight.py,SUPPORTED,"DEV-018; CASIA has no SCRFD bbox under DEV-011; verified on real data, d_scale unique values = [0.0]. Must be disclosed wherever CASIA pair matching is described"
C-M4-06,"Pair candidate selection and pair_id assignment are deterministic and independent of input order, PYTHONHASHSEED and process count, and pair_id can never influence target selection",determinism,gpatbench/pairs/common.py;configs/frozen/pairs_v1.yaml;tests/test_m4_pair_preflight.py,SUPPORTED,"two-stage SHA-256 ranking; pair_id assigned only after membership, which matters because spec 8.1 seeds FAS-Aug from it"
C-M2-04,"The M2 cache is 81 shard groups across 7 fields with 20,615 entries per field, stored as 567 data shard files plus 567 index files = 1,134 physical cache files; the differing counts in earlier reports were different units, not a discrepancy",provenance,outputs/audit/M2_CACHE_COUNT_RECONCILIATION.md;outputs/audit/M2_CACHE_INTEGRITY.json;outputs/audit/EXECUTION_FLOW.md,SUPPORTED,"read-only reconciliation, 0 M2 files modified; ""567 shards"" meant data shard files, ""972/162"" meant physical files including indexes, ""81"" means shard groups"
C-M4-07,"The Q-24 candidate preimage hashes the raw 32-byte source-seed digest, the implementation already matched that contract, and the correction changed no candidate membership",determinism,outputs/audit/M4_Q24_PREIMAGE_CORRECTION.md;tools/m4_q24_preimage_audit.py;configs/frozen/pairs_v1.yaml;tests/test_m4_pair_preflight.py,SUPPORTED,"PRE_EXECUTION_CONTRACT_IMPLEMENTATION_CORRECTION: owner contract unchanged; 0 of 240 candidate-64 sets changed against the module as committed at e4d167b; the forbidden hex-text variant would have changed 200 of 240 (83.33%)"
C-M4-08,"The M4 native manifests are scoped to CASIA and MSU only; SiW-Mv2 is recorded as NOT_INSTANTIABLE_MISSING_SUBJECT_ID with native identity-pair coverage 0 and contributes no rows",decision,configs/frozen/pairs_v1.yaml;outputs/audit/M4_PAIR_OWNER_DECISIONS.md;outputs/audit/deviation_report.md;tests/test_m4_pair_preflight.py,SUPPORTED,"Q-28/Q-29 RESOLVED_FOR_M4_NATIVE_MANIFEST_SCOPE; identity is never fabricated, DEV-013 is not a same-identity substitute, DIFFFAS-BIN does not rescue SiW, and the later M6 adaptation strategy is deliberately not settled"
C-M4-09,"The authoritative common pair manifests contain exactly one row per TRAIN and VAL spoof source (8,838 and 1,905), every target is a LIVE frame of the same dataset and split, and no TEST or M2-FAILED sample is referenced",execution,manifests/pairs_train_v1.parquet;manifests/val_pairs_v1.parquet;outputs/audit/M4_COMMON_PAIR_AUDIT.md;outputs/audit/M4_COMMON_PAIR_AUDIT.json;tests/test_m4_execution.py,SUPPORTED,"exhaustive audit over all 10,743 pairs, 0 failures; sources and targets re-derived independently and compared column by column"
C-M4-10,"CASIA and MSU common pairs always use a different subject, and every SiW pair satisfies DEV-013 with null subject fields on both sides",leakage,manifests/pairs_train_v1.parquet;manifests/val_pairs_v1.parquet;outputs/audit/M4_COMMON_PAIR_AUDIT.md;tests/test_m4_execution.py,SUPPORTED,"0 same-subject pairs and 0 null subjects in CASIA/MSU; all 6,207 SiW pairs differ in video_id AND content_group_id. No SiW pair is described as different subject or different person"
C-M4-11,"The three authoritative M4 artifacts reproduce byte-identically from fresh processes under shuffled input order and different PYTHONHASHSEED values",determinism,outputs/audit/M4_DETERMINISM_REPORT.md;outputs/audit/M4_DETERMINISM_COMPARE.json;tests/test_m4_execution.py,SUPPORTED,"4 independent runs; rows, schema, source-to-target membership and pair_id sequence compared separately from the file bytes"
C-M4-12,"An order-dependent population standard deviation in the pose fit was found by the rerun gate and fixed before any manifest was frozen, so no scientific artifact was invalidated",process,outputs/audit/M4_DETERMINISM_REPORT.md;outputs/audit/deviation_report.md;gpatbench/pairs/common.py;tests/test_m4_execution.py,SUPPORTED,"floating-point accumulation is not associative; fit_pose_stats now stacks TRAIN rows in canonical sample_id order. Q-25 semantics unchanged"
C-M4-13,"The TRAIN pair statistics are fitted on TRAIN rows only, per dataset, with population std and ddof=0, and VAL reuses them while TEST never contributes",statistics,manifests/pair_train_stats_v1.json;outputs/audit/pair_train_stats_v1.sha256;tests/test_m4_execution.py,SUPPORTED,"n_train_complete equals each dataset TRAIN row count exactly and differs from both the TRAIN+VAL and the all-split counts"
C-M4-14,"The DSDG and DiffFAS native pair manifests were not created because the official construction is unpinned and unvendored, and no pairing rule was invented to work around it",source_gap,outputs/audit/M4_NATIVE_PAIR_SOURCE_AUDIT.md;outputs/audit/M4_NATIVE_PAIR_COVERAGE.md;outputs/audit/M4_NATIVE_PAIR_COVERAGE.csv;third_party/registry.yaml;tests/test_m4_execution.py,SUPERSEDED,"BLOCKED_BY_NATIVE_PAIR_CONSTRUCTION_SOURCE_GAP; pinned_commit null and url_verification UNVERIFIED for E06b/E07b, methods/dsdg and methods/difffas hold only .gitkeep. M4 was IN_PROGRESS at that point. SUPERSEDED by Amendment A1 (2026-09-20): the sources are now pinned and the native manifests moved to Track B, deferred to M6"
C-A1-01,"Owner Protocol Amendment A1 changes the primary comparison contract to a fair identity-free track without editing the frozen specification, and was adopted before any training, generation or result inspection",decision,docs/spec/amendments/GPAT_TransferBench_v1_0_Amendment_A1_Fair_IDFree_Main_Track.md;configs/frozen/fair_track_v1.yaml;outputs/audit/M4_FAIR_TRACK_AMENDMENT_REPORT.md;tests/test_m4_fair_track.py,SUPPORTED,"DEV-019; amendment sha256 03828716def5e535d82445974972bf71a5c8ecc60392fac4b884bcbe060e3472; the frozen spec f7d23716... is byte-unchanged; no checkpoint exists and runs/probes/downstream are empty"
C-A1-02,"Every Track-A method trains and validates on the same pooled CASIA-FASD + MSU-MFSD + SiW-Mv2 population with no subject-identity and no attack-type supervision and an identical synthetic budget of 8838",fairness,outputs/audit/M4_TRACK_A_METHOD_MATRIX.csv;outputs/audit/M4_TRACK_A_METHOD_MATRIX.md;configs/frozen/fair_track_v1.yaml;tests/test_m4_fair_track.py,SUPPORTED,"8 methods checked by tools/m4_track_a_matrix.py, 0 violations; the tool exits non-zero on any violation"
C-A1-03,"The DSDG-BIN-IDFREE Track-A relation covers all three datasets with 8838 rows, consumes no subject identity, and disables only the one official loss term that mathematically requires shared identity",adaptation,configs/frozen/dsdg_bin_idfree_v1.yaml;outputs/audit/M4_DSDG_IDFREE_SOURCE_ANALYSIS.md;outputs/audit/M4_IDFREE_MANIFEST_AUDIT.md;tests/test_m4_fair_track.py,SUPPORTED,"DEV-020; CONTROLLED_ADAPTATION, never FAITHFUL_OFFICIAL; lambda_pair = 0; the relation is byte-identical when every CASIA/MSU subject id is nulled; the binary loss_cls degeneracy is disclosed rather than patched"
C-A1-04,"Under the official use_pair=false code path the DiffFAS content image is mathematically inert in training, proven numerically against the pinned source with a working negative control",adaptation,outputs/audit/M4_DIFFFAS_CONTENT_INERTNESS.json;outputs/audit/M4_DIFFFAS_IDFREE_SOURCE_ANALYSIS.md;third_party/source_pins.json;tests/test_m4_fair_track.py,SUPPORTED,"DEV-021; changing only the content tensor leaves the model input and every loss term bit-identical (max_abs_loss_diff = 0.0) under use_pair=false and changes both under use_pair=true; content_training_role = INERT_API_PLACEHOLDER"
C-A1-05,"The DIFFFAS-BIN-IDFREE Track-A manifest has 8838 rows covering all three datasets with a deterministic binary style guide and no identity or attack-type column",adaptation,manifests/difffas_bin_idfree_train_v1.parquet;outputs/audit/difffas_bin_idfree_train_v1.sha256;outputs/audit/M4_IDFREE_MANIFEST_AUDIT.md;tests/test_m4_fair_track.py,SUPPORTED,"sha256 0d4c0ab435a258be51577aec17d9ecea27785354c900d0f7ab863d2bb2924fd6; style_id = SPOOF_BINARY; guide recomputed for all 8838 rows with 0 mismatches; 3 self-guides reported and never adjusted"
C-A1-06,"Both Track-A relations reproduce byte-identically from fresh processes under shuffled input order and different PYTHONHASHSEED values",determinism,outputs/audit/M4_IDFREE_DETERMINISM_REPORT.md;outputs/audit/M4_IDFREE_DETERMINISM_COMPARE.json;tests/test_m4_fair_track.py,SUPPORTED,"4 independent runs; rows, schema, membership and track_pair_id compared separately from the file bytes; the DSDG adapter relation hash is compared too"
C-A1-07,"The official DSDG and DiffFAS sources are pinned to exact commits for adaptation analysis, source only, with no model weights downloaded and no repository committed",provenance,third_party/source_pins.json;third_party/registry.yaml;.gitignore;tests/test_m4_fair_track.py,SUPPORTED,"FaceX-Zoo 16b793a7564a4b9308cf94e62bdb2ffacb3a725a and murphytju/DiffFAS 23f40519ec25a833ebc06842aa6fbab74fad4d15; per-file sha256 and git blob ids recorded; 0 weight files present; checkouts are git-ignored"
C-A1-08,"M4 is COMPLETE under the amended main-track rule and not under the originally specified rule; the originally specified native manifests were never created and are deferred to M6 as Track B",process,outputs/audit/STAGE_STATE.json;outputs/audit/M4_FAIR_TRACK_AMENDMENT_REPORT.md;outputs/audit/M4_NATIVE_PAIR_COVERAGE.md;tests/test_m4_fair_track.py,SUPPORTED,"milestones.M4.amendment_a1.original_native_manifests_completed = false; no dsdg_identity_pairs_v1.parquet or difffas_recon_pairs_v1.parquet exists; Track B never appears in a main table without a track column"
